Название,Дата,Место,Жанр,Ссылка
Stand Up: Михаил Кострецов,30 марта в 16:00," Standup Club на Трубной",Юмор,https://www.afisha.ru/concert/stand-up-mihail-kostrecov-2227475/
Хетаг Хугаев. Сольный концерт,24 марта и 6 апреля," Coin Hall",Юмор,https://www.afisha.ru/concert/hetag-hugaev-solniy-koncert-2227216/
Мария Маркова - сольный концерт,24 мая в 20:00," Театр музыки и шоу «III РИМ»",Юмор,https://www.afisha.ru/concert/mariya-markova-solniy-koncert-2250143/
StandUp Msk Best,22 и 29 марта," O'Donoghue's",Юмор,https://www.afisha.ru/concert/standup-msk-best-2227028/
Stand Up: Элитная проверка,22 и 29 марта," Standup Brothers",Юмор,https://www.afisha.ru/concert/stand-up-elitnaya-proverka-2131817/
Тимур Каргинов,12 апреля в 19:00," ДК тепловозостроителей",Юмор,https://www.afisha.ru/concert/timur-karginov-2236514/
Разгоны (Съемка),7 апреля," Standup Club на Трубной",Юмор,https://www.afisha.ru/concert/razgony-semka-2215258/
Лайнап,31 марта 14 и 28 апреля," Standup Club на Трубной",Юмор,https://www.afisha.ru/concert/laynap-2153801/
Стендап навылет: Битва комиков за деньги,23 и 30 марта," O'Donoghue's",Юмор,https://www.afisha.ru/concert/stendap-navylet-bitva-komikov-za-dengi-2221279/
Stand Up & Drink by StandUp_Msk,18 22 и 23 марта," На 2 площадках",Юмор,https://www.afisha.ru/concert/stand-up-drink-by-standup-msk-2229983/
Стас Старовойтов,31 марта в 19:00," ДК «Сатурн»",Юмор,https://www.afisha.ru/concert/stas-starovoytov-2231035/
Женский Stand Up,Март - май," Club №1",Юмор,https://www.afisha.ru/concert/zhenskiy-stand-up-2236013/
Black StandUp. Опытные комики,Март апрель," Perfect Pitch",Юмор,https://www.afisha.ru/concert/black-standup-opytnye-komiki-2218452/
Стендап на ходу,22 марта 5 и 19 апреля," Standup Club на Трубной",Юмор,https://www.afisha.ru/concert/stendap-na-hodu-2225050/
Артём Винокур - Live концерт,21 марта и 7 апреля," КДК «Большевик»",Юмор,https://www.afisha.ru/concert/artyom-vinokur-live-koncert-2238152/
Валентин Сидоров. Сольный концерт,Март апрель май," Coin Hall",Юмор,https://www.afisha.ru/concert/valentin-sidorov-solniy-koncert-2218285/
Новые комики,Март апрель," Stand Up Патрики",Юмор,https://www.afisha.ru/concert/novye-komiki-2214234/
Тимур Каргинов,14 апреля в 19:00," ДК «Исток»",Юмор,https://www.afisha.ru/concert/timur-karginov-2236489/
Олег Щербак - сольный концерт,19 апреля в 22:30," КДК «Большевик»",Юмор,https://www.afisha.ru/concert/oleg-shcherbak-solniy-koncert-2250024/
